attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma
0.0,0.0,87282.0,34439.0,11815.0,7800.0,4554.0,2574.0,1957.3221751687895,1332.237633037832
0.0,0.0,1.0,4.0,0.0,0.0,2.0,1.0,0.8777226245720832,0.8015575240019915
0.0,0.0,135540.0,44576.0,25818.0,19829.0,12089.0,4234.0,4665.759191178176,3113.0917015815044
0.0,0.0,8757.0,2593.0,434.0,292.0,127.0,377.0,187.01654665570763,151.00480165517232
0.0,0.0,837.0,750.0,204.0,391.0,315.0,449.0,213.05947061155632,165.3252872206866
0.0,0.0,26978.0,16266.0,9532.0,2061.0,2840.0,1654.0,1057.0336251447563,671.0026562357493
48.0,51.0,2209.0,5422.0,4800.0,8805.0,2639.0,4590.0,1869.8376937050257,808.0330927819925
47.0,57.0,53608.0,56628.0,37827.0,10973.0,5653.0,10288.0,2610.540593502084,1621.8759966089617
56.0,57.0,555157.0,53237.0,32919.0,7227.0,16560.0,22082.0,7724.5245459986945,5747.00475497964
54.0,44.0,88238.0,18721.0,2495.0,1037.0,2840.0,2091.0,1180.766473494942,593.0724109163258
38.0,13.0,266498.0,63873.0,5818.0,1282.0,3845.0,4062.0,2384.8624938520124,1594.0213853520686
24.0,4.0,1197126.0,194020.0,57888.0,12258.0,14477.0,10141.0,5997.844333146323,3002.132536324702
21.0,10.0,463087.0,71787.0,9687.0,49404.0,5099.0,23312.0,4850.180478933471,3470.4455763531255
17.0,26.0,45658.0,21011.0,3310.0,9907.0,4219.0,3049.0,1454.8966691154321,1094.9519197486165
48.0,40.0,7656.0,18171.0,2077.0,9236.0,6525.0,18792.0,4642.83165791322,3060.3822639054633
63.0,34.0,112098.0,20116.0,2929.0,1457.0,1883.0,2950.0,1464.642365946192,1405.0591705192905
66.0,34.0,58764.0,15285.0,12415.0,13745.0,16281.0,9338.0,6045.335881714123,3336.5446208181265
84.0,38.0,17003.0,16389.0,19362.0,5415.0,9133.0,14597.0,6050.6463726618485,3201.287412543475
67.0,50.0,63287.0,6119.0,3690.0,4568.0,5274.0,2366.0,2124.332584948619,904.2140554768988
84.0,54.0,196132.0,8380.0,1468.0,4243.0,6815.0,7469.0,2807.186648047249,2042.398326232058
74.0,48.0,38373.0,35859.0,10037.0,9833.0,6201.0,4648.0,2926.434607748386,2118.7139550481265
51.0,44.0,131829.0,66590.0,31221.0,4990.0,9805.0,5518.0,3553.665432735675,2337.762751659125
57.0,37.0,248696.0,37523.0,10321.0,14004.0,4321.0,19887.0,3498.41783667534,2096.328271114169
44.0,34.0,1089355.0,79957.0,10340.0,10088.0,6020.0,18325.0,4520.237993186802,3833.148762286335
60.0,17.0,55860.0,39857.0,4825.0,4147.0,4947.0,15148.0,4210.009104754616,1907.8682584707167
75.0,26.0,229501.0,5707.0,6844.0,1131.0,1848.0,2343.0,1396.2801014171457,902.1204894144922
66.0,20.0,157514.0,114427.0,14682.0,17501.0,11120.0,20821.0,6302.843594433048,4951.732513161347
78.0,21.0,225646.0,4264.0,950.0,1154.0,3631.0,2875.0,2122.7084283234835,1762.6529619433659
78.0,27.0,14514.0,32090.0,8341.0,14121.0,36961.0,20013.0,11709.763720573581,7689.92206390422
64.0,13.0,68354.0,26163.0,4108.0,4024.0,3508.0,1809.0,1573.6420359782978,1316.4716599895035
64.0,13.0,169769.0,50151.0,8474.0,10818.0,12246.0,12137.0,5652.552770887624,3809.864336803966
54.0,30.0,59259.0,42778.0,42039.0,15719.0,18037.0,20430.0,7821.259864701076,4165.063905057113
44.0,41.0,1201127.0,74187.0,51237.0,34115.0,54516.0,23714.0,20213.340412860784,17987.31808206956
51.0,53.0,107727.0,10583.0,5998.0,2492.0,2294.0,1740.0,1114.9256087950207,937.0889599544479
40.0,47.0,1226514.0,1007367.0,136534.0,33489.0,67281.0,78863.0,37296.88304503953,22739.2842862704
40.0,54.0,36310.0,30493.0,50022.0,18017.0,2586.0,16781.0,3695.0564500630894,3382.1779859935773
29.0,69.0,738667.0,7592.0,15060.0,7519.0,3674.0,1926.0,1305.5462111596414,1199.8623913445613
30.0,74.0,39481.0,6238.0,5448.0,1309.0,2015.0,1318.0,517.8036139317172,422.0443019413048
23.0,84.0,1958599.0,423084.0,76831.0,81350.0,17510.0,17684.0,8895.75535163593,5854.6432728132195
14.0,64.0,1579757.0,224865.0,60556.0,39727.0,26244.0,28283.0,13612.672491480334,5741.013287616974
7.0,48.0,1861249.0,726145.0,222227.0,239892.0,191468.0,41720.0,45929.22891370014,34446.72694587933
1.0,43.0,197171.0,28192.0,11971.0,5122.0,9255.0,3350.0,3489.1298087672653,2189.2271766765994
10.0,51.0,1093406.0,41312.0,19569.0,12681.0,3264.0,4146.0,1550.3362104623325,976.3304514303239
10.0,40.0,112005.0,104604.0,9287.0,10473.0,11643.0,11415.0,6543.059988502771,4881.287344402563
37.0,35.0,1295923.0,54366.0,25957.0,14359.0,33686.0,29903.0,14459.871061481048,11160.95906943944
44.0,35.0,325910.0,25867.0,12536.0,3749.0,4205.0,5735.0,2365.9577267619443,1977.0186427110368
51.0,30.0,36901.0,81665.0,15054.0,46334.0,6732.0,15280.0,4158.707521355894,2720.32412025636
53.0,34.0,51872.0,31164.0,1644.0,4970.0,4693.0,4008.0,2015.0744666216074,997.6793021451141
44.0,37.0,117071.0,87299.0,9394.0,40229.0,15549.0,23843.0,9419.188549610188,6937.682021001638
41.0,56.0,22207.0,7313.0,17018.0,33561.0,6562.0,6503.0,3265.8030114592016,2178.805956693782
40.0,48.0,58631.0,70797.0,5441.0,23593.0,12663.0,8647.0,4038.272822509522,2588.975695279192
44.0,60.0,748194.0,41590.0,13687.0,21281.0,19747.0,13354.0,7546.625058847945,4435.009537026286
53.0,63.0,28155.0,17050.0,11166.0,12288.0,12830.0,11940.0,5999.262316701606,4538.844612795709
60.0,37.0,600591.0,35925.0,10275.0,15168.0,27724.0,11802.0,11655.913008028721,8444.02003755008
77.0,21.0,4192.0,49743.0,3683.0,1584.0,8914.0,18218.0,6078.700912511608,4191.7358149040465
67.0,20.0,28929.0,34724.0,10037.0,4698.0,12407.0,4775.0,2787.4182010661625,1940.8460044852009
69.0,16.0,32586.0,24121.0,11543.0,10654.0,21351.0,15157.0,8896.960174516951,9296.02349865831
87.0,11.0,5613.0,9372.0,3033.0,3396.0,11552.0,13815.0,5938.993920689392,4408.020041091286
96.0,23.0,7937.0,10731.0,4155.0,3200.0,5991.0,28081.0,6516.691520852234,3495.456068425963
91.0,23.0,259226.0,71370.0,11295.0,15801.0,10710.0,6750.0,4881.321400212613,3930.7847327061304
74.0,34.0,106462.0,95532.0,51906.0,52617.0,6325.0,17539.0,5419.4350055967125,3103.6332350545836
57.0,38.0,8160.0,21232.0,6732.0,4775.0,12162.0,11705.0,7194.610365715961,3624.2191497434333
35.0,43.0,432932.0,46365.0,7970.0,10691.0,14155.0,10576.0,6532.305892963708,6575.835792060158
27.0,37.0,1295545.0,248896.0,21812.0,35365.0,20338.0,11679.0,6446.352848230704,4001.3692962574946
14.0,23.0,856316.0,449480.0,103383.0,18972.0,18874.0,9990.0,6873.022867115073,4326.66005125186
